#K Chi2
0.03 127.698511511
0.031 120.060354887
0.032 112.769817128
0.033 105.810068706
0.034 99.1668316486
0.035 92.8274377649
0.036 86.7801917867
0.037 81.0139594933
0.038 75.5179211511
0.039 70.2814456891
0.04 65.2940523132
0.041 60.5452165867
0.042 56.0238440902
0.043 51.7191005671
0.044 47.6207141044
0.045 43.7190672644
0.046 40.005308231
0.047 36.4714756301
0.048 33.1106334812
0.049 29.9170141094
0.05 26.8861678894
0.051 24.0170373433
0.052 21.3170072686
0.053 18.7946795874
0.054 16.4576685042
0.055 14.3125493442
0.056 12.3648351446
0.057 10.6189758128
0.058 9.07837572081
0.059 7.7454263952
0.06 6.62155155262
0.061 5.70727063248
0.062 5.00228675014
0.063 4.50552909913
0.064 4.21521749749
0.065 4.12893978544
0.066 4.24373247659
0.067 4.55616371095
0.068 5.06241772126
0.069 5.75838017815
0.07 6.6397239277
0.071 7.70193355013
0.072 8.94013193522
0.073 10.3492075771
0.074 11.9239232606
0.075 13.6589843493
0.076 15.5491098717
0.077 17.5891061504
0.078 19.7739428804
0.079 22.0988317298
0.08 24.5593076955
0.081 27.1517844629
0.082 29.8749727646
0.083 32.7283182056
0.084 35.7114064173
0.085 38.8238632977
0.086 42.065268201
0.087 45.4350784594
0.088 48.932563952
0.089 52.5567506993
0.09 56.3063726856
0.091 60.1801858307
0.092 64.1780861197
0.093 68.3001621346
0.094 72.5463206364
0.095 76.9162525057
0.096 81.409407272
0.097 86.0249757742
0.098 90.7618805774
0.099 95.6187738349
0.1 100.594042332
0.101 105.684622656
0.102 110.882185345
0.103 116.17631216
0.104 121.555642635
0.105 127.007894836
0.106 132.519896635
0.107 138.077626418
0.108 143.666262042
0.109 149.270236802
0.11 154.873301102
0.111 160.459919128
0.112 166.019428602
0.113 171.542248842
0.114 177.018556242
0.115 182.438264666
0.116 187.791008477
0.117 193.066126823
0.118 198.252647798
0.119 203.339271105
0.12 208.314347863
0.121 213.165974882
0.122 217.88232428
0.123 222.451246223
0.124 226.860087511
0.125 231.095623837
0.126 235.143987868
0.127 238.990591952
0.128 242.620044647
0.129 246.016060848
0.13 249.161366129
